OOS,IS,Avalible,time
7,26,19,01:20:43
2,54,91,01:20:55
1,175,97,01:21:06
5,136,75,01:21:18
5,178,96,01:21:29
2,16,37,01:21:41
2,157,97,01:21:52
5,93,88,01:22:04
6,155,91,01:22:16
6,121,91,01:22:27
7,108,89,01:22:39
4,129,94,01:22:51
1,96,99,01:23:02
3,125,97,01:23:15
1,101,97,01:23:27
4,105,92,01:23:38
15,36,20,01:23:50
5,69,67,01:24:01
7,61,69,01:24:13
7,6,9,01:24:24
7,16,35,01:24:36
7,26,19,01:24:48
15,36,20,01:25:18
5,69,67,01:25:30
7,61,69,01:25:42
7,6,9,01:25:53
7,16,35,01:26:05
7,26,19,01:26:17
2,54,91,01:26:29
1,175,97,01:26:40
5,136,75,01:26:52
5,178,96,01:27:04
2,16,37,01:27:15
2,157,97,01:27:27
5,93,88,01:27:38
6,155,91,01:27:50
6,121,91,01:28:02
7,108,89,01:28:14
4,129,94,01:28:25
1,96,99,01:28:37
3,125,97,01:28:49
1,101,97,01:29:00
4,105,92,01:29:12
3,82,83,01:29:24
3,129,96,01:29:35
2,145,98,01:29:47
6,133,93,01:29:59
13,119,76,01:30:10
11,119,86,01:30:22
10,28,60,01:30:34
7,50,79,01:30:46
2,81,88,01:30:58
10,61,84,01:31:09
5,132,88,01:31:21
4,142,97,01:31:33
6,145,94,01:31:44
5,111,85,01:31:56
7,108,90,01:32:08
6,109,95,01:32:20
5,145,96,01:32:31
15,36,20,01:32:43
5,69,67,01:32:55
7,6,9,01:33:20
7,6,9,01:33:20
7,26,19,01:33:45
2,54,91,01:33:56
2,54,91,01:33:56
1,175,97,01:34:08
5,136,75,01:34:20
5,178,96,01:34:31
2,16,37,01:34:43
2,157,97,01:34:55
5,93,88,01:35:07
6,155,91,01:35:19
6,121,91,01:35:30
7,108,89,01:35:42
4,129,94,01:35:53
1,96,99,01:36:05
3,125,97,01:36:17
1,101,97,01:36:28
4,105,92,01:36:40
3,82,83,01:36:52
3,129,96,01:37:03
2,145,98,01:37:15
6,133,93,01:37:27
13,119,76,01:37:38
11,119,86,01:37:50
10,28,60,01:38:02
7,50,79,01:38:14
2,81,88,01:38:26
10,61,84,01:38:38
5,132,88,01:38:49
4,142,97,01:39:01
6,145,94,01:39:13
5,111,85,01:39:25
7,108,90,01:39:36
6,109,95,01:39:48
5,145,96,01:40:00
15,36,20,01:40:12
5,69,67,01:40:23
7,61,69,01:40:35
7,6,9,01:40:47
7,16,35,01:40:58
7,26,19,01:41:10
2,54,91,01:41:22
1,175,97,01:41:34
5,136,75,01:41:45
5,178,96,01:41:57
2,16,37,01:42:09
2,157,97,01:42:20
5,93,88,01:42:32
6,155,91,01:42:43
6,121,91,01:42:55
7,108,89,01:43:07
4,129,94,01:43:18
1,96,99,01:43:30
3,125,97,01:43:42
1,101,97,01:43:53
4,105,92,01:44:05
3,82,83,01:44:16
3,129,96,01:44:28
2,145,98,01:44:40
6,133,93,01:44:51
13,119,76,01:45:03
11,119,86,01:45:15
10,28,60,01:45:26
7,50,79,01:45:38
2,81,88,01:45:50
10,61,84,01:46:01
5,132,88,01:46:13
4,142,97,01:46:25
6,145,94,01:46:36
5,111,85,01:46:48
7,108,90,01:47:00
6,109,95,01:47:12
5,145,96,01:47:23
15,36,20,01:47:35
5,69,67,01:47:47
7,61,69,01:47:58
7,6,9,01:48:10
7,16,35,01:48:22
7,26,19,01:48:33
2,54,91,01:48:45
1,175,97,01:48:57
5,136,75,01:49:08
5,178,96,01:49:20
5,178,96,01:49:20
